0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,0,5,5
0,0,0,0,0,0,0,10,10
1,0,0,0,0,0,0,2,1
1,0,0,0,0,0,0,3,2
1,0,0,0,0,0,0,6,5
1,0,0,0,0,0,0,11,10
2,0,0,0,0,0,0,3,1
2,0,0,0,0,0,0,4,2
2,0,0,0,0,0,0,7,5
2,0,0,0,0,0,0,12,10
3,0,0,0,0,0,0,4,1
3,0,0,0,0,0,0,5,2
3,0,0,0,0,0,0,8,5
3,0,0,0,0,0,0,13,10
4,0,0,0,0,0,0,5,1
4,0,0,0,0,0,0,6,2
4,0,0,0,0,0,0,9,5
4,0,0,0,0,0,0,14,10
5,0,0,0,0,0,0,6,1
5,0,0,0,0,0,0,7,2
5,0,0,0,0,0,0,10,5
5,0,0,0,0,0,0,15,10
6,0,0,0,0,0,0,7,1
6,0,0,0,0,0,0,8,2
6,0,0,0,0,0,0,11,5
6,0,0,0,0,0,0,16,10
7,0,0,0,0,0,0,8,1
7,0,0,0,0,0,0,9,2
7,0,0,0,0,0,0,12,5
7,1,0,0,0,0,0,0,10
8,0,0,0,0,0,0,9,1
8,0,0,0,0,0,0,10,2
8,0,0,0,0,0,0,13,5
8,1,1,0,0,0,0,1,10
9,0,0,0,0,0,0,10,1
9,0,0,0,0,0,0,11,2
9,0,0,0,0,0,0,14,5
9,1,0,1,0,0,0,2,10
10,0,0,0,0,0,0,11,1
10,0,0,0,0,0,0,12,2
10,0,0,0,0,0,0,15,5
10,1,1,1,0,0,0,3,10
11,0,0,0,0,0,0,12,1
11,0,0,0,0,0,0,13,2
11,0,0,0,0,0,0,16,5
11,1,0,0,1,0,0,4,10
12,0,0,0,0,0,0,13,1
12,0,0,0,0,0,0,14,2
12,1,0,0,0,0,0,0,5
12,1,0,0,0,1,0,5,10
13,0,0,0,0,0,0,14,1
13,0,0,0,0,0,0,15,2
13,1,1,0,0,0,0,1,5
13,1,1,0,0,1,0,6,10
14,0,0,0,0,0,0,15,1
14,0,0,0,0,0,0,16,2
14,1,0,1,0,0,0,2,5
14,1,0,1,0,1,0,7,10
15,0,0,0,0,0,0,16,1
15,1,0,0,0,0,0,0,2
15,1,1,1,0,0,0,3,5
15,1,1,1,0,1,0,8,10
16,1,0,0,0,0,0,0,1
16,1,1,0,0,0,0,1,2
16,1,0,0,1,0,0,4,5
16,1,0,0,1,1,0,9,10
